name,rating,address,review,Log_and_Lat
Svenska Design Hotels,3.7,"56D, 5, opposite Wipro Avenue, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560100","(2,047)","12.839352,77.3708529"
Treebo Trend Yc Grand Boutique,4.4,"1st cross road, neeladri nagar Site no 295, Wipro gate 16, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560100",(495),"12.839352,77.3708529"
Gold Coins Club & Resort,4.0,"No.45/1, Andapura, Off Huskur Road Electronics City Phase II, Anekal, Taluk, Bengaluru, Karnataka 560100","(3,659)","12.839352,77.3708529"
Prestige Garden - Estate Club & Resort,3.8,"Next to Smilee Green, 19th km Off Hosur Road, Goolimangala, village, Huskur Rd, Electronic City, Bengaluru, Karnataka 560099","(1,283)","12.839352,77.3708529"
Adventure village resort- Best Resorts in Bangalore,3.9,"Electronic city phash 2,Goolimangala village, Hoskur gate, Bengaluru, Karnataka 560099",(66),"12.839352,77.3708529"
