name,rating,address,review,Log_and_Lat
Collection O Tin Factory Near Phoenix Marketcity,3.9,"244, 244, 1st Cross Rd, Jyothi Puram, Dooravani Nagar, Bengaluru, Karnataka 560016",(370),"12.998045,77.5990845"
OYO Townhouse 093 Ramamurthy Nagar Near Baiyappanahalli Metro Station,3.6,"693, 5th Main Rd, B Channasandra, OMBR Layout, Kasturi Nagar, Bengaluru, Karnataka 560043",(671),"12.998045,77.5990845"
Super OYO Townhouse 385 Navya International Ramamurthy Nagar Near Phoenix Marketcity,3.5,"8/2 Byanna Industrial Garden, D V Nagar, Vijinapura, New Extension, Bengaluru, Karnataka 560016",(528),"12.998045,77.5990845"
SPOT ON 77916 SV Residency,3.3,"Lowry Memorial College Outer Ring Road, 54, Dargah Mohalla, Bengaluru, Karnataka 560016",(104),"12.998045,77.5990845"
OYO 4733 Champion Residency,4.0,"ILD Extension, 390, Old Madras Road, 4th A Main Rd, Krishnarajapura, Bengaluru, Karnataka 560036","(1,088)","12.998045,77.5990845"
