name,rating,address,review,Log_and_Lat
Jalsa,4.1,"25/7, Outer Ring Road, Doddannakundi, Marathahalli, Brindavan Extension, Mahadevapura, Bengaluru, Karnataka 560048","(5,652)","12.9829799,77.6570581"
"AB's - Absolute Barbecues | Marathahalli, Bangalore",4.2,"3rd Floor, 90/4, Marathahalli - Sarjapur Outer Ring Rd, near Park Plaza Hotel, Marathahalli Village, Munnekollal, Bengaluru, Karnataka 560037","(24,515)","12.9829799,77.6570581"
Flechazo Marathahalli,4.0,"Sy No. 9/1, 2nd Floor, VRR Orchid, above Surya Nissan, Brindavan Extension, Doddanekundi, Mahadevapura, Bengaluru, Karnataka 560048","(17,001)","12.9829799,77.6570581"
Shahi Kadaai Restaurant,4.4,"Anand Nagar, Sanjay Nagar, Marathahalli, Bengaluru, Karnataka 560037","(1,225)","12.9829799,77.6570581"
"Dhaba Estd 1986 Delhi, Marathahalli",3.9,"NTR Royal Plaza, 89/1, N Thimmareddy Building, road, Marathahalli Village, Marathahalli, Bengaluru, Karnataka 560037","(5,105)","12.9829799,77.6570581"
